seqnames start end width strand midpoint annot
chr1 2663325 2757137 93813 * 2710231 SDs
chr1 8609802 8658920 49119 * 8634361 SDs
chr1 12774989 13392589 617601 * 13083789 SDs
chr1 16505567 16954879 449313 * 16730223 SDs
chr1 21410793 21486546 75754 * 21448669.5 SDs
chr1 46890388 47077530 187143 * 46983959 SDs
chr1 83149884 83462721 312838 * 83306302.5 SDs
chr1 85510420 85540152 29733 * 85525286 SDs
chr1 87413364 87508485 95122 * 87460924.5 SDs
chr1 103579612 103774831 195220 * 103677221.5 SDs
chr1 108247685 108472637 224953 * 108360161 SDs
chr1 116587233 116656432 69200 * 116621832.5 SDs
chr1 119842763 120007428 164666 * 119925095.5 SDs
chr1 146966383 148050922 1084540 * 147508652.5 SDs
chr1 149854223 149952225 98003 * 149903224 SDs
chr1 161460529 161675678 215150 * 161568103.5 SDs
chr1 206149831 206393734 243904 * 206271782.5 SDs
chr1 222468107 222514606 46500 * 222491356.5 SDs
chr1 223904631 224021229 116599 * 223962930 SDs
chr1 227967697 227978161 10465 * 227972929 SDs
chr1 234776440 234778404 1965 * 234777422 SDs
chr1 242970931 243212092 241162 * 243091511.5 SDs
chr2 5624112 5657636 33525 * 5640874 SDs
chr2 13366695 13458210 91516 * 13412452.5 SDs
chr2 86854732 87004629 149898 * 86929680.5 SDs
chr2 88020207 88977754 957548 * 88498980.5 SDs
chr2 96024373 96052201 27829 * 96038287 SDs
chr2 97040719 97608290 567572 * 97324504.5 SDs
chr2 106256547 106495197 238651 * 106375872 SDs
chr2 107830282 108771740 941459 * 108301011 SDs
chr2 109758861 112501625 2742765 * 111130243 SDs
chr2 113283971 113633050 349080 * 113458510.5 SDs
chr2 114691045 114698306 7262 * 114694675.5 unannot
chr2 129932110 131257361 1325252 * 130594735.5 SDs
chr2 132281795 132364859 83065 * 132323327 SDs
chr2 164973318 164999017 25700 * 164986167.5 SDs
chr2 231866468 231869970 3503 * 231868219 unannot
chr3 560408 621439 61032 * 590923.5 SDs
chr3 41867173 41891083 23911 * 41879128 SDs
chr3 49680227 49699472 19246 * 49689849.5 SDs
chr3 75099029 75924195 825167 * 75511612 SDs
chr3 93705581 93932876 227296 * 93819228.5 SDs
chr3 125732534 125868456 135923 * 125800495 SDs
chr3 130038251 130285974 247724 * 130162112.5 SDs
chr3 162793878 162908546 114669 * 162851212 HGSVC
chr3 195667938 195980438 312501 * 195824188 SDs
chr4 3536837 4224550 687714 * 3880693.5 SDs
chr4 9270147 9800203 530057 * 9535175 SDs
chr4 49115488 49174989 59502 * 49145238.5 SDs
chr4 51803644 51809944 6301 * 51806794 Gap
chr4 69156659 69404723 248065 * 69280691 SDs
chr4 118192168 119462447 1270280 * 118827307.5 SDs
chr4 131690010 131958605 268596 * 131824307.5 SDs
chr4 143784904 144153032 368129 * 143968968 SDs
chr4 189281562 189557657 276096 * 189419609.5 SDs
chr5 20694036 22217244 1523209 * 21455640 SDs
chr5 34066061 34407980 341920 * 34237020.5 SDs
chr5 46435280 46435900 621 * 46435590 Gap
chr5 50110111 50689011 578901 * 50399561 SDs
chr5 62216245 62258115 41871 * 62237180 SDs
chr5 69533965 69721738 187774 * 69627851.5 SDs
chr5 71358139 71450382 92244 * 71404260.5 SDs
chr5 99415495 100401220 985726 * 99908357.5 SDs
chr5 175927805 176287523 359719 * 176107664 SDs
chr5 177634705 178055037 420333 * 177844871 SDs
chr6 26680091 27014541 334451 * 26847316 SDs
chr6 31992543 32043166 50624 * 32017854.5 SDs
chr6 46829909 46860592 30684 * 46845250.5 SDs
chr6 57335773 57613351 277579 * 57474562 SDs
chr6 60350875 61291792 940918 * 60821333.5 SDs
chr6 131698187 131714119 15933 * 131706153 SDs
chr6 151034220 151129557 95338 * 151081888.5 SDs
chr6 160621941 160709835 87895 * 160665888 SDs
chr7 5850474 5985330 134857 * 5917902 SDs
chr7 6736774 7005840 269067 * 6871307 SDs
chr7 35015912 35224597 208686 * 35120254.5 SDs
chr7 39767095 39873414 106320 * 39820254.5 SDs
chr7 43961560 44014176 52617 * 43987868 SDs
chr7 45788351 45828535 40185 * 45808443 SDs
chr7 56758041 57641588 883548 * 57199814.5 SDs
chr7 62506779 63850070 1343292 * 63178424.5 SDs
chr7 65041308 65765714 724407 * 65403511 SDs
chr7 66844333 67278758 434426 * 67061545.5 SDs
chr7 72641220 72839078 197859 * 72740149 SDs
chr7 75439807 75490702 50896 * 75465254.5 SDs
chr7 76125208 76470403 345196 * 76297805.5 SDs
chr7 77041257 77182966 141710 * 77112111.5 SDs
chr7 102355983 103279576 923594 * 102817779.5 SDs
chr7 126874421 126924129 49709 * 126899275 SDs
chr7 143523607 144377504 853898 * 143950555.5 SDs
chr7 149573818 150306642 732825 * 149940230 SDs
chr7 152232678 153117034 884357 * 152674856 SDs
chr7 153705783 154164983 459201 * 153935383 SDs
chr8 2232532 2486855 254324 * 2359693.5 SDs
chr8 7081135 7230560 149426 * 7155847.5 SDs
chr8 8161785 8222053 60269 * 8191919 SDs
chr8 12008543 12712053 703511 * 12360298 SDs
chr8 43964013 43983744 19732 * 43973878.5 Gap
chr8 45927265 46613528 686264 * 46270396.5 SDs
chr8 85660230 85829804 169575 * 85745017 SDs
chr9 33524411 33584457 60047 * 33554434 SDs
chr9 38488506 38602459 113954 * 38545482.5 SDs
chr9 68299591 68416230 116640 * 68357910.5 SDs
chr9 87877983 88140196 262214 * 88009089.5 SDs
chr9 94312948 94438761 125814 * 94375854.5 SDs
chr9 96802131 97247352 445222 * 97024741.5 SDs
chr10 37024356 37260644 236289 * 37142500 SDs
chr10 38003216 38951167 947952 * 38477191.5 SDs
chr10 39560676 39585287 24612 * 39572981.5 Gap
chr10 42750785 42873035 122251 * 42811910 SDs
chr10 45677489 45705380 27892 * 45691434.5 SDs
chr10 46815166 48179969 1364804 * 47497567.5 SDs
chr10 49845539 50788587 943049 * 50317063 SDs
chr10 54255094 54449979 194886 * 54352536.5 SDs
chr10 73699097 73736043 36947 * 73717570 SDs
chr10 79523715 80238711 714997 * 79881213 SDs
